word,wordType,pronunciation,meaning,example
reliable,adjective,\rɪˈlaɪ.ə.b\,đáng tin cậy,Is your watch reliable?
Modern,adjective,\ˈmɒd.\,hiện đại,modern technology/architecture/medicine/art
Comfortable,adjective,\ˈkʌm.fə.tə.b\,thoải mái,a comfortable bed/sofa
Delicious,adjective,\dɪˈlɪʃ.əs\,ngon,a delicious cake
Unreliable,adjective,\ˌʌn.rɪˈlaɪə.b\,không đáng tin cậy,The bus service is unreliable.
Old,adjective,\əʊld\,cũ kĩ,an old man
Uncomfortable,adjective,\ʌnˈkʌmf.tə.b\,không thoải mái,"I've eaten so much, I actually feel uncomfortable."
Terrible,adjective,\ˈter.ə.b\,kinh khủng,The weather was terrible.
